land;code;v2011;v2010;v2009;v2008;e2008;e2009;e2010;e2011;e2012;e2013
Belgien;BE;8267.66;10338.53;10872.19;10840.33;10666866;10753080;10839905;11000638;11094850;11161642
Bulgarien;BG;9915.45;8508.66;6959.97;8453.44;7518002;7467119;7421766;7369431;7327224;7284552
Dänemark;DK;2186.35;2354.56;2413.2;2419.32;5475791;5511451;5534738;5560628;5580516;5602628
Deutschland;DE;44467.47;49870.85;41735.68;49511.03;82217837;82002356;81802257;81751602;80327900;80523746
Estland;EE;478.19;422.25;406.61;475.25;1338440;1335740;1333290;1329660;1325217;1320174
Finnland;FI;1986.62;2465.75;2229.99;2164.21;5300484;5326314;5351427;5375276;5401267;5426674
Frankreich;FR;14494.25;17899.29;17425.2;21609.26;64007193;64350226;64658856;64978721;65287861;65578819
Griechenland;EL;110.3;137;674.96;696.07;11182224;11190654;11183516;11123392;11123034;11062508
Irland;IE;8088.06;8907.55e;9169.47e;9115.64e;4457765;4521322;4549428;4570881;4582707;4591087
Italien;IT;5416.62;5620.99;6219.89;6976.84;58652875;59000586;59190143;59364690;59394207;59685227
Kroatien;HR;2649.98;3235.68;4791.36;3926.55;4311967;4309796;4302847;4289857;4275984;4262140
Litauen;LT;6814.25;6926.35;6299.72;6403.5;2191810;2162834;2120504;2074605;2044813;2023825
Lettland;LV;417.13;362.21;256.38;279.07;3212605;3183856;3141976;3052588;3003641;2971905
Luxemburg;LU;539.8;682;785.2;796.3;483799;493500;502066;511840;524853;537039
Malta;MT;13.36;17.2e;8.84e;12.01e;407832;410926;414027;414989;417546;421364
Niederlande;NL;710.74;815.03;758.55;751.87;16405399;16485787;16574989;16655799;16730348;16779575
Norwegen;NO;429.71;504.69;443.68;459.37;4737171;4799252;4858199;4920305;4985870;5051275
Österreich;AT;1971.62;2344.42;2016.06;4992.29;8318592;8355260;8375290;8404252;8408121;8451860
Polen;PL;185535.57;206419.28;189124.14;184162.53;38115641;38135876;38167329;38529866;38538447;38533299
Portugal;PT;1587;1510.4;1561.1;1877.9;10553339;10563014;10573479;10572721;10542398;10487289
Rumänien;RO;4818.84;4777.3;5304.89;6675.66;20635460;20440290;20294683;20199059;20095996;20020074
Schweden;SE;638.66;670.46;720.35;715.76;9182927;9256347;9340682;9415570;9482855;9555893
Schweiz;CH;2692.88;3489.11;3463.47;4105.94;7593494;7701856;7785806;7870134;7954662;8039060
Slowakei;SK;3160.62;3480.66;3165.57;3895.87;5376064;5382401;5390410;5392446;5404322;5410836
Slowenien;SI;435.52;548.99;521.6;605.11;2010269;2032362;2046976;2050189;2055496;2058821
Spanien;ES;8638.37;10446.23;10668.55;11951.82;45668939;46239273;46486619;46667174;46818219;46727890
Tschechische Republik;CZ;21309.29;23287.51;19775.91;19222.32;10343422;10425783;10462088;10486731;10505445;10516125
Ungarn;HU;16258.66;14198.19;28394.85;26497.02;10045401;10030975;10014324;9985722;9931925;9908798
Vereinigtes Königreich;UK;33554.56;36721.64;34460.01;38509.76;61571647;62042343;62510197;63022532;63495303;63896071
Zypern;CY;192.94;178.83e;208.67e;259.39e;776333;796930;819140;839751;862011;865878
