land;2014M03 ;Y2014M04 
AT;131.18 ;131.30
BE;134.25 ;129.17 
BG;138.11 ;138.05 
CH;116.4 ;116.6 
CY;137.90 ;138.38 
CZ;158.6 ;158.4 
DE;123.6 ;123.9 
DK;129.9 ;130.0 
EA;129.90 ;129.74
EA17;130.04 ;129.88
EA18;130.13 ;129.97
EE;191.31 ;190.50 
EL;153.05 ;153.46 
ES;142.20 ;142.58 
EU;135.38 ;135.16
EU27;135.79 ;135.56
EU28;135.82 ;135.60
FI;138.66 ;138.61 
FR;131.17 ;131.14 
HR;154.39;155.53
HU;157.67 ;155.14 
IE;130.7 ;130.7 
IS;204.20 ;205.08 
IT;136.0 ;134.9 
LT;192.26 ;192.00 
LU;133.63 ;132.83 
LV;208.80 ;208.65 
MT;149.14 ;135.60 
NL;122.22 ;122.09 
NO;122.8 ;121.2 
PL;146.1 ;146.1 
PT;144.63 ;144.42 
RO;195.53 ;195.06 
SE;121.41 ;121.24 
SI;150.55 ;150.03 
SK;135.22 ;135.25 
TR;227.81;228.36
UK;153.7 ;150.03 
US;128.21 ;150.03 
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
