unit,geo\time	2013M05 	2013M06 	2013M07 	2013M08 	2013M09 	2013M10 	2013M11 	2013M12 	2014M01 	2014M02 	2014M03 	2014M04 
I2005,AT	129.04 	129.13 	129.49 	129.64 	129.87 	129.91 	130.00 	130.27 	130.76 	131.13 	131.18 	131.30 p
I2005,BE	132.33 	132.54 	133.08 	132.46 	133.22 	132.74 	132.70 	133.31 	133.48 	134.44 	134.25 	129.17 
I2005,BG	142.97 	142.87 	142.86 	139.88 	139.87 	139.83 	139.74 	139.79 	138.07 	137.94 	138.11 	138.05 
I2005,CH	114.9 	115.0 	115.4 	115.8 	116.1 	115.9 	115.9 	116.2 	116.6 	116.5 	116.4 	116.6 
I2005,CY	145.47 	144.82 	143.90 	143.27 	142.72 	141.58 	140.60 	138.88 	137.68 	138.59 	137.90 	138.38 
I2005,CZ	162.9 	162.9 	162.2 	162.2 	162.2 	162.3 	162.3 	162.0 	158.4 	158.3 	158.6 	158.4 
I2005,DE	122.8 	122.8 	123.2 	123.2 	123.5 	123.3 	123.3 	123.3 	123.6 	123.7 	123.6 	123.9 
I2005,DK	128.4 	128.3 	128.9 	128.7 	128.2 	128.5 	128.2 	128.3 	129.0 	130.0 	129.9 	130.0 
I2005,EA	128.00 	128.13 	128.82 	129.25 	129.11 	129.04 	128.98 	129.16 	129.69 	129.92 	129.90 	129.74 p
I2005,EA17	128.14 	128.27 	128.96 	129.39 	129.25 	129.18 	129.12 	129.30 	129.83 	130.06 	130.04 	129.88 p
I2005,EA18	128.23 	128.36 	129.05 	129.48 	129.34 	129.27 	129.21 	129.39 	129.92 	130.15 	130.13 	129.97 p
I2005,EE	192.81 	198.84 	195.23 	197.57 	198.99 	198.00 	196.24 	192.95 	193.43 	191.73 	191.31 	190.50 
I2005,EL	155.11 	154.78 	154.49 	155.77 	155.55 	154.97 	154.16 	154.04 	153.66 	153.41 	153.05 	153.46 
I2005,ES	138.85 	139.26 	140.45 	142.35 	141.13 	141.57 	141.29 	141.44 	141.96 	142.10 	142.20 	142.58 
I2005,EU	133.47 	133.56 	134.19 	134.53 	134.48 	134.42 	134.32 	134.85 	135.22 	135.42 	135.38 	135.16 ep
I2005,EU27	133.86 	133.95 	134.59 	134.93 	134.87 	134.83 	134.72 	135.25 	135.62 	135.83 	135.79 	135.56 ep
I2005,EU28	133.90 	133.99 	134.63 	134.97 	134.91 	134.86 	134.76 	135.28 	135.66 	135.87 	135.82 	135.60 ep
I2005,FI	135.35 	136.67 	137.10 	137.18 	137.52 	137.46 	137.43 	137.73 	138.44 	138.65 	138.66 	138.61 
I2005,FR	127.99 	128.11 	129.29 	130.33 	129.39 	129.33 	129.37 	129.61 	130.87 	131.16 	131.17 	131.14 
I2005,HR	153.25 d	153.58 d	153.80 d	153.99 d	154.30 d	151.04 d	153.70 d	154.16 d	155.00 d	154.62 d	154.39 d	155.53 d
I2005,HU	171.47 	171.32 	167.55 	167.45 	167.65 	167.54 	157.50 	157.56 	157.63 	157.61 	157.67 	155.14 
I2005,IE	124.7 	125.4 	126.1 	126.1 	127.1 	127.4 	128.2 	129.4 	129.5 	130.4 	130.7 	130.7 
I2005,IS	197.51 	197.59 	198.30 	198.96 	199.56 	201.08 	201.32 	201.94 	203.36 	204.11 	204.20 	205.08 
I2005,IT	133.8 	134.0 	134.3 	134.6 	134.6 	134.6 	134.5 	135.0 	135.5 	135.8 	136.0 	134.9 
I2005,LT	192.44 	191.38 	191.49 	191.08 	191.32 	190.91 	191.00 	191.15 	192.21 	192.54 	192.26 	192.00 
I2005,LU	133.82 	134.11 	133.96 	134.13 	134.86 	133.68 	133.63 	133.90 	133.49 	133.56 	133.63 	132.83 
I2005,LV	207.71 	207.76 	206.83 	206.96 	207.46 	208.34 	208.50 	207.64 	209.44 	208.81 	208.80 	208.65 
I2005,MT	147.55 	147.19 	147.23 	147.28 	147.27 	148.77 	148.79 	148.82 	149.16 	149.17 	149.14 	135.60 
I2005,NL	119.65 	119.68 	121.69 	121.63 	121.61 	121.53 	121.61 	121.51 	122.19 	122.26 	122.22 	122.09 
I2005,NO	124.3 	122.5 	122.7 	122.5 	124.2 	125.9 	125.7 	124.6 	125.7 	124.6 	122.8 	121.2 
I2005,PL	144.2 	144.2 	145.1 	145.3 	145.4 	145.6 	145.8 	145.8 	146.1 	146.1 	146.1 	146.1 
I2005,PT	141.33 	141.02 	141.33 	141.28 	141.20 	141.06 	141.18 	141.24 	144.08 	144.80 	144.63 	144.42 
I2005,RO	188.37 	188.54 	190.64 	191.30 	191.91 	193.03 	193.45 	193.73 	195.02 	195.44 	195.53 	195.06 
I2005,SE	121.20 	120.48 	120.79 	121.38 	122.11 	121.71 	121.91 	121.46 	121.84 	121.59 	121.41 	121.24 
I2005,SI	149.70 	149.11 	150.89 	151.24 	151.29 	151.12 	151.00 	151.58 	150.46 	150.88 	150.55 	150.03 
