land;v2011;e2011
Belgien;8267.66;11000638
Bulgarien;9915.45;7369431
DÌ_nemark;2186.35;5560628
Deutschland;44467.47;81751602
Estland;478.19;1329660
Finnland;1986.62;5375276
Frankreich;14494.25;64978721
Griechenland;110.3;11123392
Irland;8088.06;4570881
Italien;5416.62;59364690
Kroatien;2649.98;4289857
Litauen;6814.25;2074605
Lettland;417.13;3052588
Luxemburg;539.8;511840
Malta;13.36;414989
Niederlande;710.74;16655799
Norwegen;429.71;4920305
ÌÐsterreich;1971.62;8404252
Polen;185535.57;38529866
Portugal;1587;10572721
RumÌ_nien;4818.84;20199059
Schweden;638.66;9415570
Schweiz;2692.88;7870134
Slowakei;3160.62;5392446
Slowenien;435.52;2050189
Spanien;8638.37;46667174
Tschechische Republik;21309.29;10486731
Ungarn;16258.66;9985722
Vereinigtes KÌ¦nigreich;33554.56;63022532
Zypern;192.94;839751
