land;Y2014M04D;Y2014M04
AT;0.1;131.30
BE;-3.8;129.17
BG;0.0;138.05
CH;0.2;116.6
CY;0.3;138.38
CZ;-0.1;158.4
DE;0.2;123.9
DK;0.1;130.0
EA;-0.1;129.74
EA17;-0.1;129.88
EA18;-0.1;129.97
EE;-0.4;190.50
EL;0.3;153.46
ES;0.3;142.58
EU;-0.2;135.16
EU27;-0.2;135.56
EU28;-0.2;135.60
FI;0.0;138.61
FR;0.0;131.14
HR;0.7;155.53
HU;-1.6;155.14
IE;0.0;130.7
IS;0.4;205.08
IT;-0.8;134.9
LT;-0.1;192.00
LU;-0.6;132.83
LV;-0.1;208.65
MT;-9.1;135.60
NL;-0.1;122.09
NO;-1.3;121.2
PL;0.0;146.1
PT;-0.1;144.42
RO;-0.2;195.06
SE;-0.1;121.24
SI;-0.3;150.03
SK;0.0;135.25
TR;0.2;228.36
