unit,geo\time	Y2014M04D	Y2014M04 
I2005,AT	0.1	131.30
I2005,BE	-3.8 	129.17 
I2005,BG	0.0 	138.05 
I2005,CH	0.2 	116.6 
I2005,CY	0.3 	138.38 
I2005,CZ	-0.1 	158.4 
I2005,DE	0.2 	123.9 
I2005,DK	0.1 	130.0 
I2005,EA	-0.1	129.74
I2005,EA17	-0.1	129.88
I2005,EA18	-0.1	129.97
I2005,EE	-0.4 	190.50 
I2005,EL	0.3 	153.46 
I2005,ES	0.3 	142.58 
I2005,EU	-0.2	135.16
I2005,EU27	-0.2	135.56
I2005,EU28	-0.2	135.60
I2005,FI	0.0 	138.61 
I2005,FR	0.0 	131.14 
I2005,HR	0.7	155.53
I2005,HU	-1.6 	155.14 
I2005,IE	0.0 	130.7 
I2005,IS	0.4 	205.08 
I2005,IT	-0.8 	134.9 
I2005,LT	-0.1 	192.00 
I2005,LU	-0.6 	132.83 
I2005,LV	-0.1 	208.65 
I2005,MT	-9.1 	135.60 
I2005,NL	-0.1 	122.09 
I2005,NO	-1.3 	121.2 
I2005,PL	0.0 	146.1 
I2005,PT	-0.1 	144.42 
I2005,RO	-0.2 	195.06 
I2005,SE	-0.1 	121.24 
I2005,SI	-0.3 	150.03 
I2005,SK	0.0 	135.25 
I2005,TR	0.2	228.36
