ObsID,Latitude,Longitude,ObsDate,ObsTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
734,52.5539,13.292,2014-01-25,19:30,3,,,"clear",Orion,"","Tegel airport bus stop, some snow on ground","Germany"
2600,52.4526,13.6292,2014-02-19,20:55,3,17.33,7978,"over 1/2 of sky",Orion,"geschlossene, aber dnne Wolkendecke","freie Sicht zum Himmel,  im Garten - umgeben von Husern, die aber alle nicht im Messwinkel erscheinen","Germany"
3587,52.3229,13.031,2014-01-25,22:21:57,4,18.23,,"over 1/2 of sky",,"From ""Dark Sky Meter""  sky: ""over 1/2 of sky""","",""
3588,52.3229,13.0308,2014-01-25,22:23:04,3,16.97,,"clear",,"From ""Dark Sky Meter""  sky: ""Foggy""","",""
3589,52.3227,13.0314,2014-01-25,22:24:06,1,14.86,,"clear",,"From ""Dark Sky Meter""  sky: ""Foggy""","",""
3590,52.3227,13.031,2014-01-25,22:31:23,2,15.46,,"clear",,"From ""Dark Sky Meter""  sky: ""Foggy""","",""
3728,52.472,13.3884,2014-02-03,21:38:54,3,17.15,,"clear",,"From ""Dark Sky Meter""  sky: ""Foggy""","",""
3744,52.5548,13.4226,2014-02-06,06:11:10,5,18.74,,"1/4 of sky",,"From ""Dark Sky Meter""  sky: ""1/4 of sky""","",""
3791,52.4802,13.6019,2014-02-16,20:25:19,5,18.81,,"clear",,"From ""Dark Sky Meter""  sky: """"","",""
4066,52.6404,13.5354,2014-03-02,20:49:37,5,19.8,,"clear",,"From ""Dark Sky Meter""  sky: """"","",""
4075,52.6404,13.5354,2014-03-02,20:49:37,5,19.8,,"clear",,"From ""Dark Sky Meter""  sky: """"","",""
4214,52.3227,13.4362,2014-03-12,04:53:34,5,19.61,,"clear",,"From ""Dark Sky Meter""  sky: ""clear""","",""
4344,52.4185,13.7427,2014-02-20,20:12,3,18.25,7971,"clear",Orion,"","","Germany"
4359,52.5355,13.4246,2014-02-20,20:38,1,18.15,7974,"clear",Orion,"","","Germany"
4360,52.4526,13.6298,2014-02-20,21:05,4,19.47,7978,"clear",Orion,"klar","wie gestern","Germany"
4368,52.5318,13.3378,2014-02-20,21:40,3,,,"clear",Orion,"","Unlit urban park","Germany"
4371,52.4555,13.3092,2014-02-20,20:30,4,,,"clear",Orion,"","unlit urban park","Germany"
4439,52.513,13.4599,2014-03-30,01:02:45,4,17.55,,"clear",,"From ""Dark Sky Meter""  sky: """"","",""
4742,52.5149,13.4285,2014-02-23,19:50,4,18.06,7971,"clear",Orion,"","Skyglow Berlin","Germany"
4751,52.5251,13.3451,2014-02-23,20:16,4,18.21,6386,"clear",Orion,"","","Germany"
4753,52.5188,13.354,2014-02-23,20:29,4,18.2,6386,"clear",Orion,"","","Germany"
4760,52.5163,13.4137,2014-02-23,20:28,2,17.29,7970,"clear",Orion,"","skyglow berlin projekt berlin berlingual school","Germany"
