ObsID;lat;lon;ObsDate;ObsTime;light;SQMReading;SQMSerial;CloudCover
734;525539;13292;25.01.14;19:30;3;;;clear
2600;524526;136292;19.02.14;20:55;3;17.33;7978;over 1/2 of sky
3587;523229;13031;25.01.14;22:21:57;4;18.23;;over 1/2 of sky
3588;523229;130308;25.01.14;22:23:04;3;16.97;;clear
3589;523227;130314;25.01.14;22:24:06;1;14.86;;clear
3590;523227;13031;25.01.14;22:31:23;2;15.46;;clear
3728;52472;133884;03.02.14;21:38:54;3;17.15;;clear
3744;525548;134226;06.02.14;06:11:10;5;18.74;;1/4 of sky
3791;524802;136019;16.02.14;20:25:19;5;18.81;;clear
4066;526404;135354;02.03.14;20:49:37;5;19. Aug;;clear
4075;526404;135354;02.03.14;20:49:37;5;19. Aug;;clear
4214;523227;134362;12.03.14;04:53:34;5;19.61;;clear
4344;524185;137427;20.02.14;20:12;3;18.25;7971;clear
4359;525355;134246;20.02.14;20:38;1;18.15;7974;clear
4360;524526;136298;20.02.14;21:05;4;19.47;7978;clear
4368;525318;133378;20.02.14;21:40;3;;;clear
4371;524555;133092;20.02.14;20:30;4;;;clear
4439;52513;134599;30.03.14;01:02:45;4;17.55;;clear
4742;525149;134285;23.02.14;19:50;4;18. Juni;7971;clear
4751;525251;133451;23.02.14;20:16;4;18.21;6386;clear
4753;525188;13354;23.02.14;20:29;4;18. Feb;6386;clear
4760;525163;134137;23.02.14;20:28;2;17.29;7970;clear
4767;525126;133743;23.02.14;21:02;4;17.99;6386;clear
4782;525335;134179;23.02.14;21:00;3;15.78;7974;clear
4926;526465;135484;16.05.14;02:46:06;4;18.65;;clear
4927;526465;135484;16.05.14;02:47:45;5;19. Apr;;clear
4928;526465;135485;16.05.14;02:49:40;6;20.64;;clear
4993;524079;132287;22.05.14;03:12:14;4;18.59;;clear
5040;524608;133086;24.02.14;20:40;4;18.41;7956;clear
5043;524936;134313;24.02.14;20:30;2;18.28;7973;clear
5054;524911;134822;24.02.14;20:45;3;18. Juni;7970;clear
5059;524496;132976;24.02.14;21:19;2;16.45;7976;clear
5077;523624;134164;24.02.14;21:30;4;19.54;7955;clear
5080;525255;133466;24.02.14;19:50;3;17.98;6386;clear
5082;525356;133483;24.02.14;23:15;3;18.38;6386;clear
5083;525187;133481;24.02.14;20:00;4;18. Aug;6386;clear
5084;525124;133602;24.02.14;20:10;4;17.95;6386;clear
5086;525054;133686;24.02.14;23:46;4;17.68;6386;clear
5087;525046;13371;24.02.14;20:35;4;17.75;6386;clear
5088;525002;133714;24.02.14;20:50;3;17.89;6386;clear
5089;524981;133683;24.02.14;21:15;3;18. Mai;6386;clear
5090;524933;13376;24.02.14;21:30;4;18. Feb;6386;clear
5091;524889;133785;24.02.14;00:00;4;18.36;6386;clear
5092;524798;133751;24.02.14;21:55;4;18.43;6386;clear
5093;524726;133863;24.02.14;22:05;3;18.39;6386;clear
5094;524628;133846;24.02.14;22:15;4;18.54;6386;clear
5095;524538;133829;24.02.14;22:20;4;18. Apr;6386;clear
5096;524432;133884;24.02.14;22:30;3;18.73;6386;clear
5097;524388;133928;24.02.14;22:40;3;18.85;6386;clear
5157;524801;136019;30.05.14;23:17:48;5;18.83;;clear
6297;525106;134645;0000-00-00;00:00;2;15.32;;over 1/2 of sky
8174;525319;133383;27.03.14;20:50;3;;;clear
8517;525319;133377;01.01.14;19:57:16;4;;;clear
8518;525319;133377;01.01.14;19:28:08;4;18.47;;clear
8891;523945;131062;02.01.14;23:54:06;4;;;clear
8897;525141;134173;05.01.14;04:33:39;6;;;clear
8899;525141;134173;05.01.14;04:31:07;6;;;clear
9021;523654;134098;05.01.14;23:07:09;5;;;clear
9050;524898;136194;06.01.14;03:24:15;3;;;clear
10476;524554;133092;20.02.14;20:22:33;4;;;clear
10477;524555;133091;20.02.14;20:24:53;5;;;clear
10478;524555;133091;20.02.14;20:30:22;4;;;clear
10483;525316;133376;20.02.14;21:33:22;4;18. M_r;;clear
10484;525316;133376;20.02.14;21:42:55;4;;;clear
10551;524855;137121;22.02.14;20:10:42;6;;;clear
10599;525122;133664;23.02.14;20:40:01;4;18;;clear
10606;525122;133664;23.02.14;20:58:29;4;;;clear
10792;523862;130383;01.03.14;19:27:43;2;;;clear
11378;525323;13338;27.03.14;20:57:21;4;18;;clear
11380;525323;13338;27.03.14;21:15:31;4;;;clear
11427;524984;134318;28.03.14;23:20:19;4;18;;clear
11429;524984;134318;28.03.14;23:26:44;3;;;clear
11430;525028;134157;28.03.14;23:34:50;4;17.83;;clear
11431;525028;134157;28.03.14;23:40:40;3;;;clear
12241;525425;134202;28.04.14;22:58:34;3;;;clear
12603;524636;135718;21.05.14;00:31:17;5;;;clear
