street;streetnumber;zipcode;district;lon;lat
Stralauer Allee;1;10245;Friedrichshain;1.344.755.415.392.810;5.250.212.559.856.740
Stralauer Allee;2;10245;Friedrichshain;1.344.891.025.529.950;5.250.180.413.129.330
Stralauer Allee;3;10245;Friedrichshain;1.345.095.877.254.730;5.250.140.280.218.690
Stralauer Allee;5;10245;Friedrichshain;13.453.081.590.732.200;5.250.082.181.460.660
Stralauer Allee;4;10245;Friedrichshain;1.345.228.555.384.890;5.250.103.631.946.230
Stralauer Allee;6;10245;Friedrichshain;13.453.716.382.224.800;5.250.041.834.912.170
Stralauer Allee;7;10245;Friedrichshain;13.454.984.560.831.400;52.499.961.883.986.500
Stralauer Allee;8;10245;Friedrichshain;13.456.252.643.446.100;5.249.952.337.834.150
Stralauer Allee;8a;10245;Friedrichshain;13.457.135.978.487.400;5.249.956.958.423.680
Stralauer Allee;9;10245;Friedrichshain;134.576.237.066.244;52.499.102.979.951.500
Stralauer Allee;10;10245;Friedrichshain;13.458.463.926.182.000;5.249.887.052.892.230
Stralauer Allee;11;10245;Friedrichshain;13.459.052.374.554.700;5.249.901.515.248.300
Stralauer Allee;13;10245;Friedrichshain;13.461.160.584.732.500;5.249.834.413.290.330
Stralauer Allee;12;10245;Friedrichshain;13.459.982.195.777.800;5.249.845.031.300.280
Stralauer Allee;14;10245;Friedrichshain;13.461.882.940.087.200;5.249.812.047.876.510
Stralauer Allee;15;10245;Friedrichshain;13.462.679.011.738.800;5.249.786.996.286.310
Stralauer Allee;17;10245;Friedrichshain;1.346.435.831.239.240;5.249.768.356.671.140
Stralauer Allee;16;10245;Friedrichshain;13.463.637.210.661.000;5.249.757.473.270.380
Stralauer Allee;17b;10245;Friedrichshain;1.346.391.604.385.900;5.249.782.674.319.580
Stralauer Allee;17a;10245;Friedrichshain;13.464.298.417.866.700;5.249.795.308.291.030
Stralauer Allee;17c;10245;Friedrichshain;13.463.680.183.913.900;52.497.898.310.469.200
Stralauer Allee;17d;10245;Friedrichshain;13.463.414.840.559.800;5.249.797.882.308.800
Stralauer Allee;17e;10245;Friedrichshain;13.463.193.703.637.700;5.249.805.040.976.850
Stralauer Allee;17f;10245;Friedrichshain;13.462.766.185.863.300;52.498.184.615.773.400
Stralauer Allee;18;10245;Friedrichshain;13.462.161.766.700.500;52.498.372.493.362.000
Stralauer Allee;19;10245;Friedrichshain;13.461.822.692.633.500;52.498.479.859.413.200
Stralauer Allee;20;10245;Friedrichshain;1.346.155.734.238.320;5.249.856.036.785.320
Stralauer Allee;20a;10245;Friedrichshain;13.461.159.298.262.300;5.249.868.562.268.050
Stralauer Allee;20c;10245;Friedrichshain;13.460.805.494.444.800;5.249.879.296.514.460
Stralauer Allee;20b;10245;Friedrichshain;13.460.952.912.911.600;52.498.748.239.246.900
Stralauer Allee;20d;10245;Friedrichshain;13.460.613.833.007.400;5.249.885.560.182.250
Stralauer Allee;20f;10245;Friedrichshain;13.460.201.058.576.600;5.249.898.083.268.520
Stralauer Allee;22a;10245;Friedrichshain;13.459.434.231.815.200;524.992.763.064.536
Stralauer Allee;21;10245;Friedrichshain;13.459.611.342.577.000;5.249.916.871.798.350
Stralauer Allee;20e;10245;Friedrichshain;13.460.392.687.134.100;5.249.892.718.325.040
Stralauer Allee;22b;10245;Friedrichshain;1.345.928.681.003.990;52.499.321.030.452.600
Stralauer Allee;23a;10245;Friedrichshain;13.458.947.927.507.300;5.249.937.446.881.220
Stralauer Allee;23c;10245;Friedrichshain;13.458.594.044.013.300;52.499.499.777.783.800
Stralauer Allee;24;10245;Friedrichshain;13.458.017.970.015.700;5.249.996.625.975.770
Stralauer Allee;23b;10245;Friedrichshain;134.587.415.357.873;5.249.943.708.150.910
Stralauer Allee;25;10245;Friedrichshain;13.457.796.814.349.800;5.250.003.783.631.260
Stralauer Allee;25a;10245;Friedrichshain;13.457.560.898.038.600;5.250.011.837.791.280
Stralauer Allee;28;10245;Friedrichshain;13.456.852.831.315.000;5.250.044.087.899.460
Stralauer Allee;26;10245;Friedrichshain;13.457.280.423.643.000;525.002.977.078.704
Stralauer Allee;27;10245;Friedrichshain;13.457.073.990.537.900;5.250.036.930.421.180
Stralauer Allee;29;10245;Friedrichshain;13.456.631.671.373.600;52.500.512.453.362.600
Stralauer Allee;31a;10245;Friedrichshain;13.455.231.068.567.700;52.500.941.783.882.600
Stralauer Allee;31;10245;Friedrichshain;13.455.437.437.301.700;5.250.088.816.390.160
Stralauer Allee;31c;10245;Friedrichshain;13.454.729.905.361.700;5.250.106.686.715.370
Stralauer Allee;31b;10245;Friedrichshain;13.454.965.761.686.300;5.250.100.430.435.200
Stralauer Allee;32a;10245;Friedrichshain;13.454.096.278.638.900;52.501.173.781.368.800
Stralauer Allee;32;10245;Friedrichshain;13.454.302.685.096.400;5.250.111.117.680.510
Stralauer Allee;33;10245;Friedrichshain;13.453.860.455.518.800;525.012.273.558.684
Stralauer Allee;34a;10245;Friedrichshain;13.453.138.505.411.500;52.501.325.148.926.500
Stralauer Allee;34;10245;Friedrichshain;13.453.212.382.463.100;5.250.126.235.124.980
Stralauer Allee;35a;10245;Friedrichshain;13.453.006.044.789.500;5.250.130.698.077.820
Stralauer Allee;35b;10245;Friedrichshain;13.452.814.432.447.000;5.250.135.163.164.790
Stralauer Allee;35c;10245;Friedrichshain;13.452.622.819.716.100;5.250.139.628.220.660
Stralauer Allee;36;10245;Friedrichshain;13.452.254.283.208.800;52.501.494.590.727.000
Stralauer Allee;35d;10245;Friedrichshain;13.452.445.932.375.600;5.250.144.095.420.190
Stralauer Allee;39;10245;Friedrichshain;13.451.162.528.182.500;5.250.200.520.880.840
Stralauer Platz;30;10243;Friedrichshain;13.431.100.996.002.600;52.509.666.205.507.900
Stralauer Allee;44;10245;Friedrichshain;13.448.745.504.769.400;5.250.248.686.581.680
Stralauer Platz;29;10243;Friedrichshain;1.343.092.397.355.790;52.509.728.818.297.600
Stralauer Platz;12;10243;Friedrichshain;13.433.355.684.940.000;52.509.391.335.268.800
Stralauer Platz;31;10243;Friedrichshain;13.431.322.323.293.000;52.509.576.705.969.900
Stralauer Platz;34;10243;Friedrichshain;13.432.959.879.566.600;525.089.683.157.151
Stralauer Platz;33;10243;Friedrichshain;13.432.561.540.991.200;5.250.912.043.358.120
Stralauer Platz;32;10243;Friedrichshain;13.431.705.941.840.100;5.250.942.456.796.560
Stralauer Platz;35;10243;Friedrichshain;13.433.845.114.750.400;52.508.619.287.634.700
Stralauer Straժe;32;10179;Mitte;13.409.595.055.366.500;5.251.606.302.538.500
Stralauer Straժe;1;10179;Mitte;13.414.515.655.141.600;52.515.955.144.461.300
Stralauer Straժe;33;10179;Mitte;13.410.331.897.245.600;5.251.600.147.166.620
Stralauer Straժe;15;10179;Mitte;13.411.436.209.767.600;5.251.610.234.267.010
Stralauer Straժe;48;10179;Mitte;13.412.543.417.788.800;5.251.561.009.297.300
Stralauer Straժe;49;10179;Mitte;13.412.705.540.735.100;5.251.559.241.370.660
Stralauer Straժe;51;10179;Mitte;13.413.029.786.237.300;5.251.555.705.450.690
Stralauer Straժe;50;10179;Mitte;13.412.852.933.069.900;5.251.557.470.754.020
Stralauer Straժe;53;10179;Mitte;1.341.335.394.396.230;5.251.553.966.746.270
Stralauer Straժe;52;10179;Mitte;13.413.162.404.186.200;5.251.554.830.781.940
Stralauer Straժe;57;10179;Mitte;13.414.193.450.410.700;52.515.568.141.175.500
Stralauer Straժe;54;10179;Mitte;13.413.530.666.011.400;525.155.489.732.474
Stralauer Straժe;55;10179;Mitte;13.413.707.431.691.500;52.515.549.292.245.700
Stralauer Straժe;56;10179;Mitte;13.413.869.423.377.300;52.515.558.570.951.600
Stralauer Straժe;58;10179;Mitte;13.414.591.043.250.400;5.251.559.581.589.230
Stralauer Straժe;62;10179;Mitte;1.341.653.542.504.420;5.251.560.827.945.950
Stralauer Straժe;63;10179;Mitte;13.416.668.386.069.000;52.515.527.636.650.100
